session_id,station_name,start_ts,end_ts,energy_kwh,ghg_savings_kg,port_type,plug_type,fee,ended_by,latitude,longitude,user_id
62,PALO ALTO CA / HIGH #4,2011-09-30T20:30:00.000Z,2011-10-01T00:28:00.000Z,8.821672,3.705,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,6356
63,PALO ALTO CA / HAMILTON #1,2011-10-02T13:44:00.000Z,2011-10-02T15:05:00.000Z,4.697033,1.973,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,3560
64,PALO ALTO CA / HIGH #4,2011-10-05T15:15:00.000Z,2011-10-05T15:39:00.000Z,1.524602,0.64,Level 2,J1772,0.0,Plug Out at Vehicle,37.443676,-122.16288,4076
65,PALO ALTO CA / HAMILTON #1,2011-10-05T17:57:00.000Z,2011-10-05T18:25:00.000Z,1.103383,0.463,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,0
66,PALO ALTO CA / HAMILTON #1,2011-10-05T20:23:00.000Z,2011-10-05T21:14:00.000Z,2.911109,1.223,Level 2,J1772,0.0,Customer,37.444572,-122.160309,5775
67,PALO ALTO CA / HAMILTON #1,2011-10-06T15:02:00.000Z,2011-10-06T17:07:00.000Z,3.771064,1.584,Level 2,J1772,0.0,Plug Out at Vehicle,37.444572,-122.160309,4611
68,PALO ALTO CA / HAMILTON #1,2011-10-07T14:11:00.000Z,2011-10-07T16:37:00.000Z,8.457076,3.552,Level 2,J1772,0.0,Customer,37.444572,-122.160309,5717
69,PALO ALTO CA / HAMILTON #2,2011-10-07T21:13:00.000Z,2011-10-07T23:15:00.000Z,7.136376,2.997,Level 2,J1772,0.0,CPS Server,37.444607,-122.160263,2545
70,PALO ALTO CA / HAMILTON #2,2011-10-10T17:41:00.000Z,2011-10-10T19:12:00.000Z,5.200559,2.184,Level 2,J1772,0.0,Customer,37.444607,-122.160263,4169
71,PALO ALTO CA / HAMILTON #2,2011-10-11T08:44:00.000Z,2011-10-11T11:37:00.000Z,9.934271,4.172,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4714
72,PALO ALTO CA / BRYANT #2,2011-10-11T15:48:00.000Z,2011-10-11T19:32:00.000Z,13.397377,5.627,Level 2,J1772,0.0,Plug Out at Vehicle,37.446373,-122.162331,194
73,PALO ALTO CA / HAMILTON #2,2011-10-12T11:34:00.000Z,2011-10-12T14:48:00.000Z,11.103001,4.663,Level 2,J1772,0.0,Plug Out at Vehicle,37.444607,-122.160263,4714
74,PALO ALTO CA / BRYANT #2,2011-10-13T14:23:00.000Z,2011-10-13T21:21:00.000Z,18.080227,7.594,Level 2,J1772,0.0,Customer,37.446373,-122.162331,194
